Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Details,Event Type,Location,Dining Option,Customer ID,Customer Name,Customer Reference ID,Unit,Count,Itemization Type,Fulfillment Note,Channel,Token,Card Brand,PAN Suffix
2025-09-28,16:44:25,America/Vancouver,Gift Shop,Admission - ADULT FREE,2.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,Voh2fe3LszKdbTlfbsmVcOAfV,FczDk649A0k2R1SJToSAQ7hJuaB,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/Voh2fe3LszKdbTlfbsmVcOAfV/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,2,Physical Good,"",Atlin Promenade,22YA27FBEPLRSELQ3HGZ2LAR,"",""
2025-09-28,16:12:35,America/Vancouver,Gift Shop,Admission - ADULT FREE,1.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,PT0AZkQtmOg0x72E8wMwOnc3KP7YY,zh84cjhOS8gAOJ0hKobz0kaOuYVZY,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/PT0AZkQtmOg0x72E8wMwOnc3KP7YY/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,1,Physical Good,"",Atlin Promenade,22YA27FBEPLRSELQ3HGZ2LAR,"",""
2025-09-28,15:48:53,America/Vancouver,Gift Shop,Admission - ADULT FREE,1.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,DBwn6nQFliPTOBPgw4sofweeV,tistjjGkWN6QYiIRHID90aBmvaB,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/DBwn6nQFliPTOBPgw4sofweeV/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,1,Physical Good,"",Atlin Promenade,22YA27FBEPLRSELQ3HGZ2LAR,"",""
2025-09-28,15:45:32,America/Vancouver,Gift Shop,Admission - ADULT FREE,1.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,D5CmoNkrJmPIfK5RCWviGkcIaOSZY,5cGzmzsjSeQ79JTprSSLUYMNNxJZY,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/D5CmoNkrJmPIfK5RCWviGkcIaOSZY/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,1,Physical Good,"",Atlin Promenade,22YA27FBEPLRSELQ3HGZ2LAR,"",""
2025-09-28,15:45:32,America/Vancouver,Gift Shop,Admission - CHILD FREE,2.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,D5CmoNkrJmPIfK5RCWviGkcIaOSZY,5cGzmzsjSeQ79JTprSSLUYMNNxJZY,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/D5CmoNkrJmPIfK5RCWviGkcIaOSZY/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,2,Physical Good,"",Atlin Promenade,6XEY6DXE2BYJNONTAYWA3C7W,"",""
2025-09-28,15:16:09,America/Vancouver,Gift Shop,Admission - CHILD FREE,1.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,jxiqx2YRxs5MJswDO3Q0gd1cgnUZY,B2RDYmKjT1BEOTYfVaZV1DUylKUZY,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/jxiqx2YRxs5MJswDO3Q0gd1cgnUZY/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,1,Physical Good,"",Atlin Promenade,6XEY6DXE2BYJNONTAYWA3C7W,"",""
2025-09-28,14:39:41,America/Vancouver,Gift Shop,Admission - ADULT FREE,1.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,LtWYWBTn9HP0p0rOY9oKlDkDq5bZY,zvreVPJSnnEdAW2GodZvaqIwW7MZY,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/LtWYWBTn9HP0p0rOY9oKlDkDq5bZY/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,1,Physical Good,"",Atlin Promenade,22YA27FBEPLRSELQ3HGZ2LAR,"",""
2025-09-28,14:23:15,America/Vancouver,Gift Shop,Admission - ADULT FREE,1.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,bxCN7i4W5tvIBI7rxK8gljl4cFBZY,RmBlW2hsFsgUGWcKy3dBE5FCXDIZY,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/bxCN7i4W5tvIBI7rxK8gljl4cFBZY/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,1,Physical Good,"",Atlin Promenade,22YA27FBEPLRSELQ3HGZ2LAR,"",""
2025-09-28,14:12:37,America/Vancouver,Gift Shop,Admission - ADULT FREE,3.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,lgt2GU7Ni1dGgynYoHH19qqmy0JZY,1OQxt5MiXZxIzmat0z6aMPczEdPZY,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/lgt2GU7Ni1dGgynYoHH19qqmy0JZY/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,3,Physical Good,"",Atlin Promenade,22YA27FBEPLRSELQ3HGZ2LAR,"",""
2025-09-28,14:08:53,America/Vancouver,Gift Shop,Admission - ADULT FREE,2.0,Regular,"","",$0.00,$0.00,$0.00,$0.00,X9rW9L5fXmqK8S9nNPWWKPKbZyNZY,NkX29ETd8wSyYU2HnUSpfDgI6EMZY,North Coast Ecology Centre,"",https://app.squareup.com/dashboard/sales/transactions/X9rW9L5fXmqK8S9nNPWWKPKbZyNZY/by-unit/LK5YHD455SWY6,Payment,Atlin Promenade,"","","","",ea,2,Physical Good,"",Atlin Promenade,22YA27FBEPLRSELQ3HGZ2LAR,"",""
